dataset,model,seed,method,original_acc,speedup,accuracy,auc,mia_gap,time_sec,acc_drop
ARMD,RF,42,Full Retrain,0.85,1.0,0.85,0.8200767328787876,0.0018271068416412795,1.0278856754302979,0.0
ARMD,RF,42,SISA,0.85,5.553893025532682,0.847225,0.8166703725928046,0.0024255175943796725,0.1850748062133789,0.002774999999999972
ARMD,RF,42,Label-Flip Retraining,0.85,1.0734735129035486,0.8501,0.8188197392351086,0.0008652219043011056,0.9575324058532715,-9.999999999998899e-05
ARMD,RF,42,Influence Reweighting,0.85,1.0934767506536742,0.85,0.819149883329988,0.0020927207738238307,0.9400160312652588,0.0
ARMD,RF,42,Tree Pruning,0.85,19.32704678821351,0.849575,0.8194412647200049,0.0015681456146060258,0.053183794021606445,0.0004250000000000087
ARMD,XGB,42,Full Retrain,0.8628,1.0,0.8628,0.8481008947679564,0.00379788875579834,0.3760209083557129,0.0
ARMD,XGB,42,SISA,0.8628,2.9296358077207425,0.861475,0.8465388591312223,0.003665745258331299,0.12835073471069336,0.0013250000000000206
ARMD,XGB,42,Label-Flip Retraining,0.8628,0.9984350646801948,0.8628,0.8494120812733732,0.0025685131549835205,0.37661027908325195,0.0
ARMD,XGB,42,Influence Reweighting,0.8628,1.0076625096715783,0.8628,0.8481008947679564,0.00379788875579834,0.37316155433654785,0.0
ARMD,RF,123,Full Retrain,0.849225,1.0,0.849225,0.8200357664954229,0.001974933955609215,0.941864013671875,0.0
ARMD,RF,123,SISA,0.849225,5.908322577460976,0.84715,0.816350107588653,0.002237828819043719,0.15941309928894043,0.002075000000000049
ARMD,RF,123,Label-Flip Retraining,0.849225,0.9538425803747365,0.848925,0.8187387099765651,0.0009331439652755791,0.9874417781829834,0.00029999999999996696
ARMD,RF,123,Influence Reweighting,0.849225,0.9108808889891125,0.84945,0.8192856475551812,0.0019908837142828817,1.0340144634246826,-0.00022500000000003073
ARMD,RF,123,Tree Pruning,0.849225,18.456058716076377,0.848575,0.8172579878729016,0.002349236620965506,0.05103278160095215,0.0006500000000000394
ARMD,XGB,123,Full Retrain,0.8628,1.0,0.8628,0.8481008947679564,0.00379788875579834,0.35180139541625977,0.0
ARMD,XGB,123,SISA,0.8628,2.9984698387539246,0.861475,0.8465388591312223,0.003665745258331299,0.11732697486877441,0.0013250000000000206
ARMD,XGB,123,Label-Flip Retraining,0.8628,0.9479732021709634,0.8628,0.8494120812733732,0.0025685280561447144,0.3711090087890625,0.0
ARMD,XGB,123,Influence Reweighting,0.8628,0.9054632948397204,0.8628,0.8481008947679564,0.00379788875579834,0.3885319232940674,0.0
ARMD,RF,456,Full Retrain,0.84915,1.0,0.84915,0.8185622349947134,0.001970160823710876,1.0029792785644531,0.0
ARMD,RF,456,SISA,0.84915,5.637283147916371,0.84805,0.815009649621685,0.002170348794526905,0.1779189109802246,0.0010999999999999899
ARMD,RF,456,Label-Flip Retraining,0.84915,0.999061687570697,0.84915,0.8197634094619194,0.0007865420004315726,1.0039212703704834,0.0
ARMD,RF,456,Influence Reweighting,0.84915,1.0016774788053113,0.849225,0.8182964669599331,0.0020278704354670107,1.0012996196746826,-7.500000000004725e-05
ARMD,RF,456,Tree Pruning,0.84915,15.640231547404387,0.848725,0.8166173520880301,0.0018456028060746255,0.06412816047668457,0.0004250000000000087
ARMD,XGB,456,Full Retrain,0.8628,1.0,0.8628,0.8481008947679564,0.00379788875579834,0.4904489517211914,0.0
ARMD,XGB,456,SISA,0.8628,3.3192876356014387,0.861475,0.8465388591312223,0.003665745258331299,0.14775729179382324,0.0013250000000000206
ARMD,XGB,456,Label-Flip Retraining,0.8628,1.1771479844030577,0.8628,0.8494120812733732,0.002568542957305908,0.4166417121887207,0.0
ARMD,XGB,456,Influence Reweighting,0.8628,1.0933824881657401,0.8628,0.8481008947679564,0.00379788875579834,0.4485611915588379,0.0
PATRIC,RF,42,Full Retrain,0.6767967967967968,1.0,0.6767967967967968,0.7725785382980577,0.009274448495616205,1.9101495742797852,0.0
PATRIC,RF,42,SISA,0.6767967967967968,8.25389244258821,0.683983983983984,0.7722650297945592,0.009690291455783928,0.23142409324645996,-0.0071871871871871384
PATRIC,RF,42,Label-Flip Retraining,0.6767967967967968,1.0136568365092924,0.6770470470470471,0.771771943314686,0.009667653078730909,1.8844144344329834,-0.00025025025025027237
PATRIC,RF,42,Influence Reweighting,0.6767967967967968,1.0206676410790625,0.6767867867867868,0.7724180609037465,0.009221255216934787,1.8714706897735596,1.0010010009997572e-05
PATRIC,RF,42,Tree Pruning,0.6767967967967968,235.72977903315973,0.6759259259259259,0.7705635054473894,0.008754630118166407,0.008103132247924805,0.000870870870870899
PATRIC,XGB,42,Full Retrain,0.6919419419419419,1.0,0.6919419419419419,0.7791642645648651,0.009941786527633667,0.3868124485015869,0.0
PATRIC,XGB,42,SISA,0.6919419419419419,4.61865557557797,0.6922322322322322,0.7778556247939632,0.0114593505859375,0.08375000953674316,-0.00029029029029026265
PATRIC,XGB,42,Label-Flip Retraining,0.6919419419419419,1.073267427599173,0.6938238238238238,0.7796596215835454,0.011227816343307495,0.36040639877319336,-0.001881881881881875
PATRIC,XGB,42,Influence Reweighting,0.6919419419419419,0.9601416769245337,0.6919419419419419,0.7791642645648651,0.009941786527633667,0.40287017822265625,0.0
PATRIC,RF,123,Full Retrain,0.6807807807807807,1.0,0.6807807807807807,0.7741815308802296,0.00011646390553216035,1.8859670162200928,0.0
PATRIC,RF,123,SISA,0.6807807807807807,7.759817342639507,0.6871271271271271,0.7748566612658705,0.0011186344553282823,0.2430427074432373,-0.006346346346346343
PATRIC,RF,123,Label-Flip Retraining,0.6807807807807807,0.9838964659267135,0.6801101101101101,0.775188706424142,0.00031043777196432254,1.916834831237793,0.0006706706706706145
PATRIC,RF,123,Influence Reweighting,0.6807807807807807,1.0265992694437978,0.6802802802802803,0.7735883899915932,0.0003536544475166159,1.8371014595031738,0.0005005005005004337
PATRIC,RF,123,Tree Pruning,0.6807807807807807,202.33582299526793,0.6783283283283283,0.7710166991816643,0.0001472018832899269,0.009320974349975586,0.0024524524524524027
PATRIC,XGB,123,Full Retrain,0.6962362362362362,1.0,0.6962362362362362,0.7813279988697406,0.0008696615695953369,0.3596174716949463,0.0
PATRIC,XGB,123,SISA,0.6962362362362362,4.051967763599731,0.6952852852852853,0.7797091660228797,0.0009550750255584717,0.08875131607055664,0.0009509509509508796
PATRIC,XGB,123,Label-Flip Retraining,0.6962362362362362,1.063245837689083,0.6962762762762763,0.7810905882859838,0.00042426586151123047,0.3382260799407959,-4.004004004010131e-05
PATRIC,XGB,123,Influence Reweighting,0.6962362362362362,0.8806558100647379,0.6962362362362362,0.7813279988697406,0.0008696615695953369,0.4083518981933594,0.0
PATRIC,RF,456,Full Retrain,0.6788588588588589,1.0,0.6788588588588589,0.7738852241631021,0.0006198978073490569,1.9882786273956299,0.0
PATRIC,RF,456,SISA,0.6788588588588589,7.274971212226952,0.6874374374374375,0.7736096955814673,0.00042783344031838144,0.2733039855957031,-0.008578578578578577
PATRIC,RF,456,Label-Flip Retraining,0.6788588588588589,1.032050518893598,0.6783383383383383,0.7733043690336985,5.9205978472864906e-05,1.92653226852417,0.0005205205205205399
PATRIC,RF,456,Influence Reweighting,0.6788588588588589,1.0652629381856011,0.6785885885885886,0.7738134947760573,0.0006014280042357933,1.8664674758911133,0.0002702702702702675
PATRIC,RF,456,Tree Pruning,0.6788588588588589,235.79068649626782,0.6780680680680681,0.7716696315935556,0.00028103984897698275,0.008432388305664062,0.0007907907907908074
PATRIC,XGB,456,Full Retrain,0.6924124124124124,1.0,0.6924124124124124,0.7777068730392054,0.0001786947250366211,0.3756380081176758,0.0
