dataset,model,k,speedup,accuracy,auc,mia_gap,time_sec,acc_drop
ARMD,RF,2,2.3948983127293033,0.849475,0.8181419824858597,0.002164148132044491,0.42870306968688965,0.0005249999999999977
ARMD,RF,3,3.5317574095428057,0.84915,0.8203291444181632,0.002373652791617359,0.29070520401000977,0.0008500000000000174
ARMD,RF,5,5.787748173475477,0.847225,0.8166703725928046,0.0024255175943796725,0.17739200592041016,0.002774999999999972
ARMD,RF,10,8.148033990089063,0.8446,0.8130981215928184,0.002477766996660441,0.1260058879852295,0.00539999999999996
ARMD,XGB,2,1.4934229361996632,0.863075,0.8488575740591006,0.003867924213409424,0.3172781467437744,-0.0002750000000000252
ARMD,XGB,3,2.212022051335134,0.863725,0.8477980233982264,0.0034252703189849854,0.21420693397521973,-0.0009249999999999536
ARMD,XGB,5,3.0818444027478407,0.861475,0.8465388591312223,0.003665745258331299,0.1537489891052246,0.0013250000000000206
ARMD,XGB,10,4.517070365681531,0.861125,0.8451732439704679,0.004088670015335083,0.10489773750305176,0.001674999999999982
PATRIC,RF,2,2.6513101070537175,0.675985985985986,0.772774271168065,0.009429713841638931,0.7958071231842041,0.0008108108108108025
PATRIC,RF,3,4.456180634128877,0.6764864864864865,0.772325410896382,0.00986468611838004,0.4734842777252197,0.0003103103103103688
PATRIC,RF,5,7.481847649096821,0.683983983983984,0.7722650297945592,0.009690291455783928,0.28200674057006836,-0.0071871871871871384
PATRIC,RF,10,12.17599251528931,0.6857857857857858,0.7721176153130107,0.009224216268932883,0.17328619956970215,-0.008988988988988922
PATRIC,XGB,2,1.820810898521612,0.6920720720720721,0.7789002187372558,0.011385440826416016,0.20129632949829102,-0.00013013013013019048
PATRIC,XGB,3,2.6558501687864307,0.6929229229229229,0.7781377261145029,0.011366516351699829,0.13800573348999023,-0.0009809809809809833
PATRIC,XGB,5,3.261663901418551,0.6922322322322322,0.7778556247939632,0.0114593505859375,0.11237287521362305,-0.00029029029029026265
PATRIC,XGB,10,3.971651122535975,0.691991991991992,0.7770847856865875,0.011639147996902466,0.0922846794128418,-5.005005005009888e-05
