dataset,model,comparison,sisa_time_mean,other_time_mean,p_value_time,p_value_acc,time_sig,acc_sig,n_seeds,note
ARMD,RF,SISA vs Full Retrain,0.1741356054941813,0.9909096558888754,0.0004804907733426381,0.05506438993651349,✓,—,3,indicative only (n=3 seeds)
ARMD,RF,SISA vs Label-Flip Retraining,0.1741356054941813,0.9829651514689127,0.0005056833265857906,0.06573511633430225,✓,—,3,indicative only (n=3 seeds)
ARMD,RF,SISA vs Influence Reweighting,0.1741356054941813,0.991776704788208,0.0017923004655735434,0.048142101990247654,✓,✓,3,indicative only (n=3 seeds)
ARMD,RF,SISA vs Tree Pruning,0.1741356054941813,0.056114912033081,0.003608505910772547,0.09214390183848803,✓,—,3,indicative only (n=3 seeds)
ARMD,XGB,SISA vs Full Retrain,0.13114500045776364,0.4060904184977214,0.015024536210630672,0.0,✓,✓,3,indicative only (n=3 seeds)
ARMD,XGB,SISA vs Label-Flip Retraining,0.13114500045776364,0.3881203333536784,0.0005749156794142814,0.0,✓,✓,3,indicative only (n=3 seeds)
ARMD,XGB,SISA vs Influence Reweighting,0.13114500045776364,0.40341822306315106,0.0035096239509713905,0.0,✓,✓,3,indicative only (n=3 seeds)
PATRIC,RF,SISA vs Full Retrain,0.24925692876180014,1.9281317392985022,0.00015344747211829346,0.00770820610608852,✓,✓,3,indicative only (n=3 seeds)
PATRIC,RF,SISA vs Label-Flip Retraining,0.24925692876180014,1.9092605113983154,1.7250054316596525e-05,0.008376522941871778,✓,✓,3,indicative only (n=3 seeds)
PATRIC,RF,SISA vs Influence Reweighting,0.24925692876180014,1.8583465417226155,9.254598525234765e-05,0.006479981507142475,✓,✓,3,indicative only (n=3 seeds)
PATRIC,RF,SISA vs Tree Pruning,0.24925692876180014,0.008618831634521434,0.002680244361295779,0.001880209213909666,✓,✓,3,indicative only (n=3 seeds)
PATRIC,XGB,SISA vs Full Retrain,0.08818459510803217,0.374022642771403,0.0010710819820525252,0.6399504044649957,✓,—,3,indicative only (n=3 seeds)
PATRIC,XGB,SISA vs Label-Flip Retraining,0.08818459510803217,0.36472193400065106,0.003163287357045005,0.692424057813996,✓,—,3,indicative only (n=3 seeds)
PATRIC,XGB,SISA vs Influence Reweighting,0.08818459510803217,0.4019755522410075,0.0003150668709429997,0.6399504044649957,✓,—,3,indicative only (n=3 seeds)
