dataset,model,method,accuracy_mean,accuracy_std,accuracy_fmt,auc_mean,auc_std,auc_fmt,mia_gap_mean,mia_gap_std,mia_gap_fmt,time_sec_mean,time_sec_std,time_sec_fmt,speedup_mean,speedup_std,speedup_fmt,acc_drop_mean,acc_drop_std,acc_drop_fmt
ARMD,RF,Full Retrain,0.8494583333333333,0.00038423806277994874,0.8495 ± 0.0004,0.8195582447896412,0.0007044838275104869,0.8196 ± 0.0007,0.0019240672069870668,6.858901774595713e-05,0.002 ± 0.000,0.9909096558888754,0.03614035986325401,0.991 ± 0.036,1.0,0.0,1.000 ± 0.000,0.0,0.0,0.0000 ± 0.0000
ARMD,RF,Influence Reweighting,0.8495583333333334,0.0003255337497437266,0.8496 ± 0.0003,0.8189106659483674,0.00043782666224271297,0.8189 ± 0.0004,0.0020371583078578667,4.209034017563532e-05,0.002 ± 0.000,0.991776704788208,0.03896101250445742,0.992 ± 0.039,1.0020117061493659,0.07454482300465981,1.002 ± 0.075,-0.00010000000000001575,9.35414346693443e-05,-0.0001 ± 0.0001
ARMD,RF,Label-Flip Retraining,0.8493916666666667,0.0005092205372483848,0.8494 ± 0.0005,0.819107286224531,0.0004651270164630773,0.8191 ± 0.0005,0.0008616359566693668,5.9903690978901056e-05,0.001 ± 0.000,0.9829651514689127,0.019200899768012713,0.983 ± 0.019,1.0087925936163273,0.049321448368703134,1.009 ± 0.049,6.6666666666637e-05,0.00016996731711971016,0.0001 ± 0.0002
ARMD,RF,SISA,0.8474749999999999,0.0004077376607574982,0.8475 ± 0.0004,0.8160100432677142,0.0007193668528564002,0.8160 ± 0.0007,0.0022778984026500665,0.0001079566510298078,0.002 ± 0.000,0.1741356054941813,0.010812519005593709,0.174 ± 0.011,5.69983291697001,0.1513041793353606,5.700 ± 0.151,0.0019833333333332663,0.0006868810344998336,0.0020 ± 0.0007
ARMD,RF,Tree Pruning,0.8489583333333334,0.00044032816045410023,0.8490 ± 0.0004,0.8177722015603122,0.0012088375753858188,0.8178 ± 0.0012,0.0019209950138820335,0.0003233045816795504,0.002 ± 0.000,0.056114912033081,0.0057338658612747315,0.056 ± 0.006,17.80777901723143,1.5733936953639382,17.808 ± 1.573,0.0005,0.00010606601717798212,0.0005 ± 0.0001
ARMD,XGB,Full Retrain,0.8628,0.0,0.8628 ± 0.0000,0.8481008947679564,0.0,0.8481 ± 0.0000,0.0037978887557983,0.0,0.004 ± 0.000,0.4060904184977214,0.06046441265994162,0.406 ± 0.060,1.0,0.0,1.000 ± 0.000,0.0,0.0,0.0000 ± 0.0000
ARMD,XGB,Influence Reweighting,0.8628,0.0,0.8628 ± 0.0000,0.8481008947679564,0.0,0.8481 ± 0.0000,0.0037978887557983,0.0,0.004 ± 0.000,0.40341822306315106,0.0325318076547093,0.403 ± 0.033,1.0021694308923463,0.07681595424967223,1.002 ± 0.077,0.0,0.0,0.0000 ± 0.0000
ARMD,XGB,Label-Flip Retraining,0.8628,0.0,0.8628 ± 0.0000,0.8494120812733733,1.1102230246251565e-16,0.8494 ± 0.0000,0.0025685280561447,1.2166747171586908e-08,0.003 ± 0.000,0.3881203333536784,0.020292326656504642,0.388 ± 0.020,1.0411854170847386,0.09832247852794218,1.041 ± 0.098,0.0,0.0,0.0000 ± 0.0000
ARMD,XGB,SISA,0.861475,0.0,0.8615 ± 0.0000,0.8465388591312223,0.0,0.8465 ± 0.0000,0.0036657452583312,0.0,0.004 ± 0.000,0.13114500045776364,0.012579268336928172,0.131 ± 0.013,3.0824644273587016,0.16980077528063345,3.082 ± 0.170,0.001325,0.0,0.0013 ± 0.0000
PATRIC,RF,Full Retrain,0.6788121454788122,0.0016267900296937803,0.6788 ± 0.0016,0.7735484311137965,0.0006964043237325029,0.7735 ± 0.0007,0.0033369367361657663,0.004203482353444882,0.003 ± 0.004,1.9281317392985022,0.043661082131984594,1.928 ± 0.044,1.0,0.0,1.000 ± 0.000,0.0,0.0,0.0000 ± 0.0000
