feature,importance
abx_Ampicillin,0.23503242869618757
abx_Tetracycline,0.11453431659320236
abx_Erythromycin,0.04212875690492814
abx_Penicillin,0.04209798926593084
org_KLEBSIELLA PNEUMONIAE,0.04109421843822787
abx_Piperacillin/Tazobactam,0.035418019920000245
org_ENTEROCOCCUS SPECIES,0.033237218650225914
culture_RESPIRATORY,0.030907200892588343
abx_Ertapenem,0.030625418956008312
abx_Meropenem,0.030553954983817664
culture_URINE,0.029535757199166755
org_STAPH AUREUS {MRSA},0.029383524618644973
org_COAG NEGATIVE STAPHYLOCOCCUS,0.02448418582469067
abx_Amikacin,0.02348792009619571
org_PROTEUS MIRABILIS,0.022529966745635174
gender_num,0.017443180592350806
org_ESCHERICHIA COLI,0.016227743660443307
abx_Trimethoprim/Sulfamethoxazole,0.01617142950826816
abx_Vancomycin,0.014886267246649654
org_STAPHYLOCOCCUS AUREUS,0.012855812793949126
abx_Ampicillin/Sulbactam,0.012285348171112787
org_Other,0.01179025767982561
abx_Gentamicin,0.01079043236650554
abx_Clindamycin,0.009591821861412865
abx_Linezolid,0.006952685219684487
abx_Cefazolin,0.006924299635214789
abx_Oxacillin,0.006584089999224554
abx_Nitrofurantoin,0.006428075592484456
org_MORGANELLA MORGANII,0.006390105303937727
org_ENTEROCOCCUS FAECALIS,0.0053668124638039695
culture_BLOOD,0.005067729221041905
abx_Levofloxacin,0.004855302433521721
hosp_ward_OP,0.004829646138475253
hosp_ward_IP,0.00464531611822339
hosp_ward_ER,0.0044609351059298466
abx_Cefuroxime,0.004303692028680588
abx_Moxifloxacin,0.00427313754347848
org_KLEBSIELLA OXYTOCA,0.0039806719619003865
abx_Tobramycin,0.00360772043095065
org_STREPTOCOCCUS AGALACTIAE (GROUP B),0.0034302930994771796
abx_Ceftazidime,0.003129893645719122
org_ENTEROBACTER CLOACAE COMPLEX,0.002700607367148563
abx_Ciprofloxacin,0.0026761684510195637
org_SERRATIA MARCESCENS,0.002626696265334625
org_CITROBACTER KOSERI,0.0024704770374433488
org_PSEUDOMONAS AERUGINOSA (NON-MUCOID CF),0.0024616012362943373
abx_Cefoxitin,0.00201756130242509
hosp_ward_ICU,0.0020174647630166903
abx_Ceftriaxone,0.0015119491067004651
abx_Other,0.0012767936210464862
org_MUCOID PSEUDOMONAS AERUGINOSA,0.0011261401253242944
abx_Cefepime,0.001111268363690251
org_ZZZENTEROBACTER AEROGENES,0.0010488985661172086
org_CITROBACTER FREUNDII COMPLEX,0.0010482246031784507
org_PSEUDOMONAS AERUGINOSA,0.0008890728821738273
abx_Amoxicillin/Clavulanic Acid,0.0006879775755241614
org_KLEBSIELLA AEROGENES,0.0006748828022622227
abx_Aztreonam,0.0006480138665066281
abx_Daptomycin,0.000535389806156506
abx_Imipenem,0.0001472346509205085
age_num,0.0
